long,lat,id,nombre,anio_de_in,tipo,cantidad,ubicacion,clasificac,calle,altura,calle2,barrio,comuna,codigo_postal,codigo_postal_argentino
-58.441168360832,-34.632410754045,293,BASE CHACABUCO DE CUERPO DE AGENTES,2013,4U,2,INTERIOR,EDIFICIOS PUBLICOS,"MITRE, EMILIO",981,,Parque Chacabuco,Comuna 7,1424,C1424AYS
-58.3911245431591,-34.6261617635002,294,DESARROLLO SOCIAL GCBA,2013,4U,2,VIA PUBLICA E INTERIOR,EDIFICIOS PUBLICOS,ENTRE RIOS AV.,1492,,Constitucion,Comuna 1,1133,C1133AAP
-58.4828984958733,-34.5686972734413,295,SEDE COMUNA 12,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,MILLER,2751,,Villa Urquiza,Comuna 12,1431,C1431GEC
-58.4909028229293,-34.5511635161034,296,POLICIA METROPOLITANA COMUNA 12,2013,4U,3,VIA PUBLICA,EDIFICIOS PUBLICOS,RAMALLO,4398,,Saavedra,Comuna 12,1430,C1430CQD
-58.4961231168991,-34.6018988898531,297,SEDE COMUNA 11,2013,4U,1,INTERIOR,EDIFICIOS PUBLICOS,"GUTIERREZ, RICARDO",3254,,Villa Del Parque,Comuna 11,1417,C1417ECB
-58.3988516905767,-34.5966165938219,298,SEDE COMUNA 2,2013,4U,1,INTERIOR,EDIFICIOS PUBLICOS,"URIBURU JOSE E., PRES.",1022,,Recoleta,Comuna 2,1114,C1114AAF
-58.3868762415821,-34.6000639538483,299,CGPC 1,2013,4U,1,VIA PUBLICA,EDIFICIOS PUBLICOS,URUGUAY AV.,740,,San Nicolas,Comuna 1,1015,C1015ABP
-58.3924318282621,-34.604252852223,300,NEXTEL,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,CALLAO AV.,410,,Balvanera,Comuna 3,1022,C1022AAR
-58.5015264729745,-34.5996442460711,301,NEXTEL,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,"BEIRO, FRANCISCO AV.",3456,,Villa Del Parque,Comuna 11,1419,C1419HYV
-58.4455404991182,-34.6242825808679,302,CHUNGO,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,"ALBERDI, JUAN BAUTISTA AV.",1250,,Caballito,Comuna 6,1406,C1406GRO
-58.4576660684015,-34.5607101243062,303,CHUNGO,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,CABILDO AV.,2231,,Belgrano,Comuna 13,1428,C1428AAE
-58.4412623574267,-34.5716638549571,304,NEXTEL,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,CABILDO AV.,451,,Palermo,Comuna 14,1426,C1426AAE
-58.4336775822762,-34.5832254838334,305,CHUNGO,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,HUMBOLDT,1906,,Palermo,Comuna 14,1414,C1414CTV
-58.4207833145517,-34.6009901894172,306,NEXTEL,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,MEDRANO AV.,780,,Almagro,Comuna 5,1179,C1179AAN
-58.3922304229851,-34.638206077667,307,LABORATORIO BRITANIA,2013,4U,1,VIA PUBLICA,EMPRESA AMIGA,LOS PATOS,2175,,Parque Patricios,Comuna 4,1283,C1283ABI
